CV,CV_READING,CHARA,CHARA_READING
梶裕貴,かじゆうき,エアースカーペ,えあーすかーぺ
森なな子,もりななこ,ジュナー,じゅなー
森久保祥太郎,もりくぼしょwたろ,エリジウム,えりじうむ
森永千才,もりながちとせ,ベナ,べな
植田ひかる,うえだひかる,ポデンコ,ぽでんこ
植田佳奈,うえだかな,スカイフレア,すかいふれあ
楠大典,くすのきたいてん,Sharp,しゃーぷ
櫻井孝宏,さくらいたかひろ,パッセンジャー,ぱっせんじゃー
武内駿輔,たけうちしゅんすけ,マッターホルン,まったーほるん
武内駿輔,たけうちしゅんすけ,レンジャー,れんじゃー
水樹奈々,みずきなな,モスティマ,もすてぃま
水橋かおり,みずはしかおり,炎獄ラヴァ,えんごくらゔぁ
水橋かおり,みずはしかおり,メイ,めい
水橋かおり,みずはしかおり,ラヴァ,らゔぁ
水瀬いのり,みなせいのり,アルケット,あるけっと
氷青,ひょうせい,インディゴ,いんでぃご
池澤春菜,いけざわはるな,ブリーズ,ぶりーず
津田健次郎,けんじろつだ,エンペラー,えんぺらー
津田里穂,つだりほ,パインコーン,ぱいんこーん
清水理沙,しみずりさ,シャイニング,しゃいにんぐ
瀬戸麻沙美,せとあさみ,ケオベ,けおべ
照井春佳,てるいはるか,ススーロ,すすーろ
生天目仁美,なばためひとみ,グレイディーア,ぐれいでぃーあ
田中美海,たなかみなみ,エイプリル,えいぷりる
甲斐田裕子,かいだゆうこ,レイズ,れいず
白井悠介,しらいゆすけ,ジェイ,じぇい
白石晴香,しらいしはるか,アイリス,あいりす
白砂沙帆,しらすさほ,アステジーニ,あすてじーに
真堂圭,しんどうけい,アスベストス,あすべすとす
矢作紗友里,やはぎさゆり,カッター,かったー
矢口アサミ,やぐちあさみ,Pith,ぴす
石原夏織,いしはらかおり,ヘビーレイン,へびーれいん
石川界人,いしかわかいと,ソーンズ,そーんず
石田彰,いしだあきら,ファントム,ふぁんとむ
福原綾香,ふくはらあやか,メテオ,めてお
福圓美里,ふくえんみさと,グレースロート,ぐれーすろーと
立花慎之介,たちばなしんおすけ,シャレム,しゃれむ
立花日菜,たちばなひな,プリン,ぷりん
竹達彩奈,たけたつあやな,W,だぶりゅー
篠原侑,ささはらゆ,パプリカ,ぱぷりか
米澤円,よねざわまどか,プロヴァイゾ,ぷろゔぁいぞ
羽多野渉,はたのわたる,キアーベ,きあーべ
花守ゆみり,はなもりゆみり,イフリータ,いふりーた
茅野愛衣,かやのあい,プラチナ(*),ぷらちな（＊）
荒川美穂,あらかわみほ,セイロン,せいろん
藍原ことみ,あいはらことみ,エラト,えらと
藤田咲,ふじたさき,ヤトウ,やとう
西田望見,にしだのぞみ,アンブリエル,あんぶりえる
諏訪部順一,すわべじゅにち,ウユウ,うゆう
豊口めぐみ,とよぐちめぐみ,ホルン,ほるん
豊崎愛生,とよさきあき,バグパイプ,ばぐぱいぷ
赤尾ひかる,あかおひかる,バブル,ばぶる
近藤玲奈,こんどうれいな,フォリニック,ふぉりにっく
近藤隆,こんどうたかし,イグゼキュター,いぐぜきゅたー
速水奨,はやみしょう,ヘラグ,へらぐ
逢坂良太,おさかりょた,エーベンホルツ,えーべんほるつ
逢田梨香子,あいだりかこ,クォーツ,くぉーつ
野上翔,のがみしょ,ミニマリスト,みにまりすと
野中藍,のなかあい,グラウコス,ぐらうこす
野田順子,のだじゅんこ,ブラックナイト,ぶらっくないと
金元寿子,かねもとひさこ,フィリオプシス,ふぃりおぷしす
金子真由美,かねこまゆみ,アンセル,あんせる
釘宮理恵,くぎみやりえ,アイリーニ,あいりーに
鈴代紗弓,すずしろさゆみ,ジャッキー,じゃっきー
鈴木みのり,すずきみのり,ソラ,そら
鈴木千尋,すずきちひろ,スチュワード,すちゅわーど
鈴木達央,すずきたつひさ,アオスタ,あおすた
長縄まりあ,ながなわまりあ,ウィーディ,うぃーでぃ
関根明良,せきねあきら,ハイディ,はいでぃ
阿澄佳奈,あすみかな,スノーズント,すのーずんと
青木志貴,あおきしき,ダグザ,だぐざ
飯田友子,いいだゆうこ,Tulip,ちゅーりっぷ
高梨謙吾,たかなしけんご,パズル,ぱずる
高橋美佳子,たかはしみかこ,トミミ,とみみ
高野麻里佳,こうのまりか,ラ・プルマ,ら・ぷるま
髙橋ミナミ,たかはしみなみ,ウィスラッシュ,うぃすらっしゅ
髙野麻美,たかのあさみ,クエルクス,くえるくす
鬼頭明里,きとうあかり,サイレンス,さいれんす
鳥海浩輔,とりうみこうすけ,ブローカ,ぶろーか
黒瀬ゆうこ,くろせゆうこ,カシャ,かしゃ
齋藤彩夏,さいとうあやか,ヴァーミル,ゔぁーみる
山新,しゃんしん,羅小黒,ろしゃおへい
河西健吾,かわにしけんご,アドナキエル,あどなきえる
河西健吾,かわにしけんご,ノイルホーン,のいるほーん
渕上舞,ふちがみまい,グレイ,ぐれい
渕上舞,ふちがみまい,承曦グレイ,ちぇんしーぐれい
白石涼子,しらいしりょうこ,クリフハート,くりふはーと
白石涼子,しらいしりょうこ,フェン,ふぇん
皆川純子,みながわじゅんこ,カタパルト,かたぱると
皆川純子,みながわじゅんこ,バイソン,ばいそん
石上静香,いしがみしずか,チェン,ちぇん
石上静香,いしがみしずか,遊龍チェン,ゆうりゅうちぇん
石川由依,いしかわゆい,ナイチンゲール,ないちんげーる
石川由依,いしかわゆい,リスカム,りすかむ
石見舞菜香,いわみまなか,エクシア,えくしあ
石見舞菜香,いわみまなか,ワルファリン,わるふぁりん
種崎敦美,たねざきあつみ,アズリウス,あずりうす
種崎敦美,たねざきあつみ,ドーベルマン,どーべるまん
種田梨沙,たねだりさ,エイヤフィヤトラ,えいやふぃやとら
種田梨沙,たねだりさ,メテオリーテ,めておりーて
立花理香,たちばなりか,グラベル,ぐらべる
立花理香,たちばなりか,プリュム,ぷりゅむ
緑川光,みどりかわひかる,THRM-EX,さーまるいーえっくす
緑川光,みどりかわひかる,ノーシス,のーしす
能登麻美子,のとまみこ,リード,りーど
能登麻美子,のとまみこ,焔影リード,ほかげりーど
花澤香菜,はなざわかな,ブレミシャイン,ぶれみしゃいん
花澤香菜,はなざわかな,羅小黒,ろしゃおへい
藤村歩,ふじむらあゆみ,サベージ,さべーじ
藤村歩,ふじむらあゆみ,ロープ,ろーぷ
藤田茜,ふじたあかね,シャマレ,しゃまれ
藤田茜,ふじたあかね,バイビーク,ばいびーく
阿部敦,あべあつし,Castle-3,きゃっするすりー
阿部敦,あべあつし,スポット,すぽっと
高森奈津美,たかもりなつみ,グム,ぐむ
高森奈津美,たかもりなつみ,ムース,むーす
高橋李依,たかはしりえ,ナイトメア,ないとめあ
高橋李依,たかはしりえ,パフューマー,ぱふゅーまー
黒沢ともよ,くろさわともよ,アーミヤ,あーみや
黒沢ともよ,くろさわともよ,アーミヤ(前衛),あーみや（ぜんえい）
浅倉杏美,あさくらあずみ,カーディ,かーでぃ
浅倉杏美,あさくらあずみ,スペクター,すぺくたー
浅倉杏美,あさくらあずみ,帰溟スペクター,きめいすぺくたー
田所あずさ,たどころあずさ,クルース,くるーす
田所あずさ,たどころあずさ,テキサス,てきさす
田所あずさ,たどころあずさ,寒芒クルース,かんぼうくるーす
田所あずさ,たどころあずさ,緘黙テキサス,かんもくてきさす
諏訪彩花,すわあやか,ガヴィル,がゔぃる
諏訪彩花,すわあやか,クオーラ,くおーら
諏訪彩花,すわあやか,マンティコア,まんてぃこあ
諏訪彩花,すわあやか,百錬ガヴィル,ひゃくれんがゔぃる
